CGPA,Projects,Internships,DSA_Solved,Certifications,Communication_Score,Package
8.61,3,2,334,1,10,16.8
6.9,2,1,30,0,6,8.4
8.85,1,3,134,3,3,13.5
6.95,5,1,57,4,4,11.4
7.3,4,1,104,5,4,12.1
8.99,5,0,265,2,1,13.8
8.6,3,0,521,0,3,14.5
9.4,4,3,495,4,3,19.9
8.63,4,2,252,4,1,15.3
8.27,1,0,294,2,9,12.8
6.37,3,2,157,2,1,9.7
7.47,2,3,548,2,9,17.6
7.06,1,0,66,5,1,7.5
6.98,1,2,298,5,2,12.0
9.89,5,0,462,0,2,16.7
7.57,5,3,100,2,6,14.9
9.57,5,3,55,3,7,18.7
8.52,1,0,331,4,1,10.8
9.18,2,2,392,2,3,15.4
8.01,4,1,380,4,2,13.4
8.31,5,1,91,1,8,13.4
7.97,2,0,446,1,9,14.5
6.78,3,2,108,2,2,10.6
8.89,5,1,316,4,2,15.7
7.12,4,3,167,1,10,15.5
6.1,3,2,434,2,9,14.4
8.58,3,1,441,4,4,15.2
6.71,4,2,217,2,5,14.0
9.76,5,0,221,5,9,17.5
9.82,1,2,527,4,6,19.1
9.66,4,1,277,1,10,17.6
7.48,4,0,568,2,9,15.5
6.06,4,2,573,1,9,15.0
9.71,3,3,465,2,7,21.3
7.71,2,1,583,0,10,15.2
9.87,1,0,29,1,9,12.9
9.85,5,2,358,1,5,18.6
9.41,5,3,287,3,5,19.1
7.18,2,1,85,5,8,12.6
7.54,4,3,233,1,10,16.2
9.4,1,2,312,4,4,16.0
7.27,5,2,364,2,9,16.5
6.68,5,0,268,0,7,12.5
8.23,4,3,130,4,7,17.7
9.74,2,0,350,4,3,15.5
8.78,1,1,179,4,4,14.3
8.28,2,0,479,4,7,14.2
6.39,2,1,162,0,5,9.1
8.46,1,2,95,3,3,12.4
9.96,1,2,509,5,1,17.1
6.56,5,3,364,1,7,15.9
8.07,5,1,352,4,6,15.8
9.51,1,2,435,1,10,18.6
8.96,3,3,82,1,7,15.6
8.79,5,3,224,4,2,17.3
8.81,3,0,411,3,4,15.2
7.44,1,3,117,1,2,11.3
7.17,5,2,481,2,8,17.4
9.24,2,0,191,1,7,13.1
9.24,1,1,590,5,1,16.6
9.47,4,1,589,4,2,18.3
9.65,3,2,106,0,2,14.5
8.05,1,2,381,1,4,13.6
8.01,1,0,389,3,3,11.2
9.19,5,0,243,2,1,13.8
8.6,5,2,584,2,2,19.0
8.81,5,2,467,0,9,19.1
9.18,4,1,537,5,1,18.1
9.56,5,1,209,0,9,16.7
7.35,1,1,72,5,7,9.9
7.5,5,2,308,1,2,13.6
6.38,2,3,589,4,2,14.9
8.31,5,2,185,3,5,15.2
6.14,4,2,252,2,5,11.9
7.86,2,1,12,0,4,9.3
8.17,1,2,298,3,10,15.0
7.15,1,0,75,5,10,10.9
8.36,3,2,50,4,3,13.3
6.12,2,2,148,2,4,10.3
6.15,3,2,121,2,10,11.8
9.29,2,2,210,5,4,16.7
7.44,2,3,279,4,2,14.7
6.51,4,2,537,2,5,14.7
8.09,3,0,155,4,5,12.9
9.08,4,0,237,2,5,13.8
6.86,2,2,375,1,10,14.0
8.49,1,1,81,5,1,11.4
6.34,2,3,491,4,6,15.4
6.21,4,2,355,3,2,13.0
8.13,3,2,272,1,7,14.5
8.16,3,2,579,3,4,17.6
8.55,4,1,43,5,5,14.1
8.9,3,1,572,2,5,17.0
9.9,5,1,122,3,5,16.3
8.07,1,3,348,1,2,13.7
7.29,1,0,329,4,5,11.1
9.18,1,3,408,0,3,15.9
7.08,3,1,322,3,4,12.5
7.76,3,0,110,0,2,9.0
6.31,2,0,88,5,4,7.5
6.1,2,1,432,3,9,11.9
9.85,1,1,98,3,8,14.7
9.34,5,3,538,4,3,20.9
8.78,2,1,600,2,1,15.2
7.64,2,0,145,1,1,8.2
6.69,3,2,256,1,6,12.0
6.63,5,1,188,1,3,11.8
7.0,1,1,239,5,4,10.4
8.2,2,3,502,2,1,17.0
8.86,5,3,270,0,8,18.1
8.64,5,1,519,1,1,15.8
7.12,1,0,549,0,5,11.4
9.82,5,0,113,2,6,15.0
8.95,5,2,338,5,2,17.7
8.22,5,1,567,2,7,17.8
8.45,2,3,358,4,7,17.6
7.68,1,0,333,1,1,9.5
6.99,5,2,168,5,4,14.4
7.42,5,1,338,4,4,13.8
9.03,2,0,260,1,5,12.2
6.06,1,1,198,2,1,7.2
6.46,3,1,210,2,1,8.9
6.18,2,0,286,3,7,9.7
6.16,1,0,471,3,9,11.3
9.42,5,0,481,2,1,15.1
8.81,1,1,22,2,2,10.3
7.9,1,1,559,0,6,13.7
6.39,1,2,108,0,6,9.1
7.97,3,3,295,4,2,15.0
7.89,1,1,5,3,9,10.9
6.69,3,3,549,3,4,15.5
7.74,5,0,202,2,7,12.7
7.59,3,1,324,2,6,12.5
8.46,5,2,243,4,3,16.1
8.54,5,2,326,5,8,18.2
6.18,3,3,46,5,7,12.4
7.5,2,0,590,5,9,15.3
8.5,4,3,12,3,3,14.7
8.01,1,0,379,0,1,10.5
9.43,4,2,364,5,2,17.9
8.63,1,3,341,1,1,15.0
6.65,1,2,220,4,5,12.0
6.28,5,2,72,5,10,13.8
8.57,1,0,45,1,2,8.9
6.11,1,3,503,5,3,14.1
8.34,3,3,273,0,8,16.5
9.76,4,2,554,0,10,21.1
8.3,3,2,207,5,5,15.7
7.55,1,0,123,1,4,8.9
8.57,5,1,9,4,5,13.8
7.83,3,1,328,1,10,14.6
8.18,3,2,186,4,6,15.1
9.77,2,1,542,5,7,18.3
7.54,1,1,59,4,9,11.8
9.84,5,1,441,2,1,16.8
9.62,3,1,216,3,4,15.7
6.78,3,2,1,3,9,11.9
6.28,5,1,535,0,5,13.3
6.4,1,1,355,2,8,11.3
6.07,2,0,164,3,1,7.2
6.38,3,2,90,5,4,10.6
8.73,2,3,166,4,9,17.6
6.28,4,3,206,4,1,12.8
7.28,1,0,281,1,1,9.7
9.38,4,0,64,1,4,12.9
6.09,4,2,515,4,3,14.3
9.26,4,3,156,5,7,18.3
7.13,1,1,305,4,3,11.1
6.47,1,0,394,1,1,8.3
8.79,5,3,73,3,10,18.8
8.52,2,2,186,0,2,13.2
9.51,2,1,573,1,10,18.5
8.94,5,2,336,5,4,19.1
9.21,5,0,567,3,1,15.7
7.13,4,3,239,3,1,14.2
6.71,5,3,532,3,8,18.7
9.0,3,3,140,2,7,16.9
9.23,2,3,264,2,8,16.9
9.96,5,1,138,3,4,17.1
7.65,3,1,458,5,6,15.8
7.49,3,2,69,4,3,12.4
9.11,3,1,384,5,8,17.5
7.36,3,0,197,2,4,11.3
9.72,4,0,204,1,3,14.1
9.43,3,3,567,2,4,19.8
7.72,4,0,430,4,6,14.0
9.0,4,2,324,0,7,17.3
9.02,3,1,441,2,7,17.2
6.41,2,1,287,5,4,11.1
9.61,3,1,225,5,8,16.7
8.02,3,0,63,3,7,11.9
9.31,3,1,559,3,2,16.6
7.28,2,3,497,3,8,17.8
9.58,1,3,59,0,9,15.2
7.56,1,3,396,4,5,14.8
6.04,4,0,256,1,4,8.5
9.62,4,1,576,5,4,18.8
6.37,2,0,238,5,4,9.3
7.28,5,1,37,4,6,12.1
9.8,1,2,24,0,4,13.7
9.8,4,2,409,3,7,20.1
8.29,1,0,460,4,7,13.8
8.53,2,3,570,1,5,19.5
7.79,2,0,416,3,5,12.5
7.17,5,3,356,1,10,17.2
7.31,5,1,382,2,8,14.4
8.69,2,3,157,1,7,15.4
9.01,4,3,568,3,7,21.1
9.17,1,1,432,2,6,14.8
9.16,3,2,47,3,7,15.0
6.36,5,1,327,5,7,14.0
7.98,3,0,432,3,10,14.6
6.23,4,0,430,2,2,10.2
8.2,5,0,55,1,10,13.2
7.77,3,0,576,5,2,13.7
9.55,4,0,267,0,10,15.1
7.4,1,2,68,0,7,10.7
6.47,4,2,600,0,10,16.5
6.57,5,3,448,0,7,16.2
9.05,2,0,256,4,7,13.9
8.47,1,1,489,0,5,13.8
6.4,3,0,48,2,1,7.4
6.34,5,2,315,0,2,12.6
8.8,2,0,412,3,9,15.1
6.29,4,2,433,0,8,13.8
9.29,2,3,1,1,8,15.3
8.82,5,3,144,2,10,18.0
6.33,5,3,365,2,1,14.0
6.34,2,2,419,5,6,13.5
9.95,4,0,572,4,9,19.6
7.5,2,0,560,3,8,13.9
7.48,5,1,443,2,3,14.8
9.25,5,2,433,1,4,18.7
9.79,3,1,554,0,3,16.9
9.94,3,3,56,2,6,16.7
9.01,1,0,561,1,9,15.8
7.51,5,2,177,0,8,14.4
6.33,3,1,292,4,10,12.6
9.11,2,1,45,2,4,13.0
8.23,4,1,169,2,2,12.4
7.7,2,0,270,1,8,10.5
9.63,4,0,416,5,8,17.6
6.44,3,0,138,3,6,10.0
7.97,1,2,246,4,8,14.2
6.05,2,0,147,3,9,8.6
7.87,2,2,229,2,1,12.4
6.23,2,1,373,3,9,12.6
6.48,4,1,79,0,2,8.7
6.47,3,3,64,4,1,11.6
8.6,2,0,87,3,8,11.9
8.98,2,1,87,0,8,13.1
8.33,1,0,203,1,4,10.4
9.85,1,2,381,3,8,17.8
7.5,3,1,600,4,7,16.4
7.14,3,0,475,0,2,10.8
9.47,5,1,572,3,5,18.7
6.89,1,1,538,1,10,13.5
9.85,5,0,213,3,4,15.0
6.05,4,1,73,0,3,8.6
9.88,5,1,60,3,1,14.9
6.17,2,1,542,4,5,13.4
9.56,5,1,218,2,10,17.5
8.11,3,2,11,0,8,12.7
9.97,4,1,414,0,9,17.6
6.3,2,3,31,0,7,9.9
8.22,5,1,159,0,1,11.5
9.88,4,0,236,3,1,15.0
8.09,4,3,180,4,1,15.0
8.52,2,2,557,1,2,16.5
8.78,5,3,340,4,1,16.8
7.82,4,3,457,0,4,17.4
8.51,4,3,79,5,10,17.6
8.34,1,0,472,3,9,14.5
9.6,4,0,111,5,4,13.9
6.18,1,0,291,3,4,8.6
7.12,5,2,382,0,7,14.9
9.8,5,0,16,3,9,14.6
9.56,5,0,492,0,7,16.7
7.82,3,3,330,4,1,14.9
8.48,5,0,485,2,1,14.9
7.11,4,1,405,3,4,13.3
6.75,2,0,116,0,4,6.7
7.85,1,2,554,5,1,15.4
7.41,3,2,114,0,6,10.9
8.33,5,1,548,5,10,20.0
6.31,5,2,546,3,2,15.9
9.9,2,2,335,1,5,16.3
9.94,2,3,335,5,8,20.7
8.79,3,1,146,0,3,12.5
8.14,1,3,121,3,9,14.5
7.24,5,3,80,0,7,13.9
9.26,3,0,374,1,9,15.8
8.74,4,1,569,2,1,16.3
6.65,4,0,62,1,5,7.4
9.64,3,0,503,4,3,17.5
9.29,5,3,448,3,4,20.5
9.8,3,2,427,1,4,17.8
8.9,5,1,426,2,7,17.2
8.45,2,2,420,0,10,16.3
7.67,3,3,321,3,8,17.3
9.73,5,3,165,5,10,20.9
9.46,3,3,596,1,5,20.3
6.18,3,3,460,2,10,15.1
6.11,5,3,458,1,7,15.6
7.51,5,3,188,4,3,15.6
9.24,1,2,463,3,3,16.8
9.95,3,0,378,0,3,14.5
6.6,4,2,1,2,4,11.0
8.38,3,1,363,1,6,14.0
7.52,3,2,71,3,5,12.5
9.88,5,3,426,1,8,21.3
9.37,3,2,169,3,5,15.2
9.35,3,0,204,4,5,14.1
7.87,4,1,336,1,10,14.9
7.66,5,2,471,4,2,17.3
7.09,3,0,194,5,5,10.8
6.23,2,2,274,5,7,12.8
9.46,1,1,6,2,2,10.8
9.25,4,2,565,4,6,20.3
10.0,3,3,572,3,7,21.7
9.99,2,2,598,2,5,19.1
8.22,3,0,177,1,9,13.8
9.08,3,2,241,1,4,15.1
9.78,5,0,202,3,10,16.8
9.4,5,1,542,0,1,17.6
6.99,5,2,461,0,8,15.4
7.8,2,1,79,1,8,11.5
6.52,3,1,522,3,7,14.1
9.82,1,2,416,0,8,17.4
8.42,4,0,383,4,2,15.2
6.91,5,1,390,1,3,12.6
8.69,5,1,125,5,9,17.0
8.47,3,2,493,4,1,16.8
7.43,3,2,46,3,8,13.3
6.45,2,2,475,5,8,15.0
8.69,2,2,463,4,7,18.5
8.08,5,2,122,0,5,13.8
9.09,3,3,473,0,4,18.3
8.08,1,2,133,5,10,15.1
9.41,4,0,561,2,10,18.1
8.21,3,1,22,1,10,13.0
8.24,3,0,565,5,10,16.9
9.51,2,0,234,3,6,13.4
7.61,4,3,58,1,1,12.0
6.54,5,2,163,4,5,13.2
6.12,3,1,215,3,4,10.5
9.02,5,0,182,3,4,13.1
8.48,3,2,568,0,7,17.6
8.82,5,2,89,4,9,17.5
6.85,4,3,310,0,8,14.4
6.55,2,3,556,0,8,15.0
6.06,4,3,256,2,5,13.5
7.4,1,1,532,0,6,13.3
8.36,2,0,532,1,2,13.8
7.57,4,3,51,3,3,13.4
7.75,1,3,337,0,5,13.6
9.62,3,3,170,5,2,18.3
7.39,3,0,66,1,3,8.3
8.06,5,0,299,4,4,14.2
9.13,2,3,231,3,6,18.1
7.59,3,3,67,5,5,14.7
8.49,2,2,505,5,10,19.0
9.45,3,3,27,4,4,16.9
9.8,5,1,50,5,2,15.8
6.59,4,1,259,1,5,11.8
9.71,5,3,590,4,5,22.4
7.97,1,0,585,5,7,15.3
7.03,3,2,183,4,1,12.1
7.84,1,0,22,4,4,8.2
9.92,1,3,128,0,5,15.7
7.97,2,1,290,0,8,11.8
7.32,3,2,500,0,8,15.8
8.53,1,0,185,5,1,10.8
6.96,4,0,478,3,5,14.0
6.3,1,3,570,1,10,15.5
6.52,4,2,491,5,1,15.0
6.51,2,1,512,0,1,10.2
6.61,1,3,66,4,2,10.9
6.56,5,2,466,5,2,14.9
8.56,2,0,284,4,9,14.6
6.73,4,3,600,4,4,16.8
7.38,2,0,416,4,3,11.9
9.59,1,0,99,2,1,10.3
7.9,3,3,188,3,2,14.5
8.67,3,3,387,1,6,18.6
6.69,4,3,240,1,9,15.1
6.77,4,3,416,0,5,15.0
6.16,3,3,175,2,4,10.7
6.68,4,0,386,5,5,12.2
7.11,2,1,470,5,9,15.1
6.71,5,1,232,1,7,12.2
6.35,5,3,451,3,8,17.6
6.48,2,0,276,4,4,9.6
7.84,5,1,228,0,8,14.6
6.83,1,1,170,3,6,10.2
7.46,2,1,212,1,5,10.9
8.01,4,0,281,2,7,13.0
8.76,2,3,40,0,6,13.5
6.16,3,3,121,1,3,11.5
9.2,4,3,226,5,5,18.4
8.51,3,2,293,0,9,16.1
6.33,4,2,599,1,7,15.1
9.49,5,2,266,5,4,18.0
9.68,2,0,540,5,7,17.8
6.24,1,1,450,4,5,11.1
7.11,4,1,448,2,2,13.0
9.22,4,0,60,4,6,13.0
8.99,3,0,501,1,7,15.3
6.74,5,3,146,3,8,15.0
6.84,3,3,333,4,6,15.1
7.48,3,2,141,3,8,14.1
7.94,5,2,43,5,7,15.2
8.47,1,0,143,1,2,11.0
7.48,3,2,332,2,6,14.6
7.85,3,1,496,3,9,15.3
8.99,4,0,395,1,6,15.0
6.15,5,0,54,3,4,8.7
7.01,2,1,306,4,7,12.3
8.85,1,3,422,1,3,16.2
9.58,1,3,416,4,5,18.3
8.05,5,1,324,0,1,13.5
8.13,4,1,79,1,10,12.5
6.43,4,2,30,3,3,11.2
7.79,5,0,111,0,8,11.0
8.13,4,2,557,4,9,19.0
6.97,1,1,563,4,9,14.1
7.08,1,2,471,3,10,15.2
7.51,2,1,73,0,2,8.9
6.08,5,2,552,5,4,15.8
7.29,3,2,478,2,5,15.6
6.85,3,3,588,3,3,16.7
7.31,2,1,386,4,1,12.2
6.48,2,2,563,1,6,14.1
9.56,4,0,432,0,10,17.9
8.37,2,2,411,5,2,16.1
8.72,2,2,466,2,9,17.4
9.16,3,0,598,1,1,15.8
7.99,4,1,247,0,9,14.3
6.35,2,3,580,5,7,16.0
8.15,2,3,119,3,10,15.5
8.35,4,3,66,5,2,14.6
8.98,5,0,572,3,6,16.6
7.73,4,2,326,0,8,14.8
6.51,3,1,469,5,2,12.8
7.14,5,2,492,2,5,16.2
7.45,1,3,285,5,6,14.2
8.58,4,2,311,0,3,14.0
8.28,3,0,308,1,2,12.5
7.42,5,0,96,1,6,11.0
9.95,4,1,112,5,3,16.7
8.42,2,1,455,5,2,15.7
6.95,4,3,462,3,1,15.9
6.41,1,1,131,0,8,8.7
6.61,4,2,120,3,1,10.9
6.98,5,0,196,2,5,11.5
6.64,5,0,481,1,6,12.8
6.75,4,0,38,4,3,8.7
7.14,5,1,565,4,7,15.6
6.69,2,0,511,0,2,10.0
9.59,4,0,473,0,7,17.1
6.32,2,0,160,4,2,8.5
8.1,2,3,288,0,5,14.8
7.64,3,3,199,1,7,14.3
9.93,4,1,527,2,3,18.8
6.45,5,0,502,2,4,12.5
7.59,2,1,247,3,1,11.0
9.88,3,0,382,1,3,14.2
9.46,4,0,217,0,9,15.9
9.27,4,0,86,0,10,14.1
7.03,1,1,81,3,5,9.8
6.68,1,1,61,3,8,9.0
8.67,2,0,499,0,2,13.0
9.72,1,2,41,0,3,12.9
8.23,2,1,11,1,7,11.5
8.29,5,3,114,3,10,18.3
7.12,2,1,217,1,4,9.6
9.08,1,0,105,5,9,12.5
6.75,5,2,527,0,7,16.1
7.29,1,0,471,4,1,10.7
7.7,2,3,386,4,4,16.3
8.03,3,1,225,5,10,14.9
6.97,4,1,480,0,6,13.0
6.46,1,0,407,3,6,9.3
8.44,2,0,456,4,10,15.7
7.15,5,3,20,3,6,14.4
8.32,1,2,600,4,5,17.5
6.62,1,3,202,3,3,11.8
7.92,4,2,416,4,2,14.1
8.13,2,1,415,3,3,14.1
6.21,3,2,447,5,9,14.4
7.35,5,2,511,1,3,14.9
6.54,2,1,84,3,3,7.8
6.25,5,1,166,1,1,8.7
9.96,1,1,383,1,2,15.0
7.29,4,3,467,0,3,15.3
9.24,4,1,71,5,2,13.5
7.02,3,0,520,1,8,13.1
8.73,4,1,472,2,6,16.3
9.04,1,1,257,1,7,14.2
8.38,3,1,274,3,1,13.9
7.89,2,2,19,1,6,11.5
7.65,4,3,489,3,2,17.7
7.4,3,1,489,3,6,15.3
9.72,1,3,325,2,3,17.0
9.32,5,0,528,1,7,18.4
9.86,5,0,88,1,3,13.5
6.5,1,1,485,4,9,12.2
8.92,1,0,349,4,3,12.2
9.75,5,3,83,0,7,17.6
6.72,3,2,386,3,4,13.8
6.27,5,1,86,2,8,10.6
8.96,1,0,306,4,2,12.1
8.3,4,3,153,1,8,15.6
9.37,2,3,439,0,9,18.5
6.56,4,0,263,2,8,11.9
9.18,4,3,420,5,6,20.6
6.81,1,3,492,1,10,15.1
6.65,5,1,410,1,1,12.9
6.66,3,3,172,5,7,14.3
9.26,4,0,3,3,1,11.8
8.66,5,1,471,3,7,18.4
8.09,3,0,109,4,2,10.6
7.44,4,2,36,4,8,14.2
9.51,3,0,582,1,2,16.2
7.57,5,0,30,1,3,9.8
9.27,2,1,380,4,3,14.8
7.76,5,3,267,5,1,16.4
7.51,1,0,10,4,5,9.2
7.85,3,1,343,1,5,13.7
7.21,2,2,543,2,10,17.0
8.99,3,1,568,1,5,16.6
8.01,3,1,165,2,9,13.8
6.93,4,3,341,2,6,15.0
9.6,1,0,481,1,6,15.0
7.54,3,2,18,0,3,11.2
8.17,5,1,183,4,5,15.1
9.63,5,0,544,3,10,19.5
8.5,4,0,9,1,7,11.4
6.47,1,1,591,2,3,11.3
9.76,1,0,191,1,2,11.7
8.51,5,1,319,4,5,15.6
7.34,2,1,579,5,3,14.4
6.56,4,1,474,2,5,12.4
9.18,4,2,426,3,9,18.7
8.48,5,1,58,3,10,15.5
8.13,5,3,435,3,1,18.0
9.58,2,0,96,5,4,12.9
9.15,2,2,495,0,10,18.1
6.61,1,0,277,2,5,8.9
7.25,4,2,264,5,2,14.3
6.99,4,3,8,2,2,12.1
8.98,5,2,456,5,1,17.8
6.13,1,2,272,5,8,10.9
8.28,4,2,7,0,2,11.5
9.05,1,0,207,2,3,11.4
9.51,1,1,122,5,2,13.8
7.37,5,0,32,0,4,9.7
9.29,1,1,512,1,1,14.9
6.44,2,0,203,4,3,8.2
9.39,2,3,517,5,5,20.0
6.51,3,3,516,3,10,17.0
